RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,319,4000,136799,Carshalton Boys Sports College,ACC,0,0,136,128,6,82,5,76,1,40,6,2,94%,4%,60%,4%,56%,1%,29%,4%,1%,27,25,SUPP,15,SUPP,13,SUPP,SUPP,SUPP,SUPP,93%,SUPP,56%,SUPP,48%,SUPP,SUPP,SUPP,SUPP,109,103,SUPP,67,SUPP,63,SUPP,SUPP,SUPP,SUPP,94%,SUPP,61%,SUPP,58%,SUPP,SUPP,SUPP,SUPP,133,125,5,81,5,76,0,39,6,2,94%,4%,61%,4%,57%,0%,29%,5%,2%,26,24,0,SUPP,SUPP,13,0,SUPP,SUPP,SUPP,92%,0%,SUPP,SUPP,50%,0%,SUPP,SUPP,SUPP,107,101,5,SUPP,SUPP,63,0,SUPP,SUPP,SUPP,94%,5%,SUPP,SUPP,59%,0%,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,319,4002,136797,Carshalton High School for Girls,ACC,0,0,84,74,9,59,1,56,2,6,6,4,88%,11%,70%,1%,67%,2%,7%,7%,5%,24,19,SUPP,16,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,79%,SUPP,67%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,60,55,SUPP,43,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,92%,SUPP,72%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,81,71,6,59,1,56,2,6,6,4,88%,7%,73%,1%,69%,2%,7%,7%,5%,23,18,SUPP,16,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,78%,SUPP,70%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,58,53,SUPP,43,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,91%,SUPP,74%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,319,,,,,,,2195,1981,65,1630,41,1564,25,286,116,98,90%,3%,74%,2%,71%,1%,13%,5%,5%,265,225,10,180,10,165,5,40,30,10,85%,3%,67%,3%,61%,3%,15%,11%,5%,1930,1755,55,1450,35,1400,20,245,85,85,91%,3%,75%,2%,73%,1%,13%,5%,5%,2141,1944,51,1622,37,1564,21,271,108,89,91%,2%,76%,2%,73%,1%,13%,5%,4%,255,220,5,180,SUPP,165,SUPP,35,25,10,86%,2%,70%,SUPP,65%,SUPP,14%,10%,4%,1885,1725,45,1445,SUPP,1400,SUPP,235,85,80,91%,2%,77%,SUPP,74%,SUPP,13%,4%,4%,11,5,3,1,1,0,0,1,4,2,46%,27%,9%,9%,0%,0%,9%,36%,18%,5,SN,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,25%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,5,5,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,57%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,43,32,11,7,3,0,4,14,4,7,74%,26%,16%,7%,0%,9%,33%,9%,16%,10,5,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,67%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,35,25,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,77%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP
1,937,4730,143634,St Benedict's Catholic High School,ACC,0,0,46,39,6,21,0,20,1,12,2,5,85%,13%,46%,0%,43%,2%,26%,4%,11%,3,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,43,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,43,37,4,21,0,20,1,12,2,4,86%,9%,49%,0%,47%,2%,28%,5%,9%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4752,148362,Trinity Catholic School,ACC,0,0,18,11,0,6,2,3,1,5,5,2,61%,0%,33%,11%,17%,6%,28%,28%,11%,3,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,15,9,0,5,SUPP,SUPP,SUPP,4,SUPP,SUPP,60%,0%,33%,SUPP,SUPP,SUPP,27%,SUPP,SUPP,10,7,0,4,1,3,0,3,1,2,70%,0%,40%,10%,30%,0%,30%,10%,20%,2,SUPP,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,8,6,0,SUPP,SUPP,3,0,SUPP,SUPP,SUPP,75%,0%,SUPP,SUPP,38%,0%,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4803,141836,St Thomas More Catholic School and Sixth Form College,ACC,0,0,91,82,10,50,1,48,1,22,7,2,90%,11%,55%,1%,53%,1%,24%,8%,2%,9,8,1,3,SUPP,SUPP,SUPP,4,SUPP,SUPP,89%,11%,33%,SUPP,SUPP,SUPP,44%,SUPP,SUPP,82,74,9,47,SUPP,SUPP,SUPP,18,SUPP,SUPP,90%,11%,57%,SUPP,SUPP,SUPP,22%,SUPP,SUPP,85,77,8,50,1,48,1,19,6,2,91%,9%,59%,1%,56%,1%,22%,7%,2%,8,7,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,88%,SUPP,38%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,77,70,SUPP,47,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,91%,SUPP,61%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,5401,137781,Ash Green School,ACC,0,0,60,51,6,26,0,23,3,19,7,2,85%,10%,43%,0%,38%,5%,32%,12%,3%,7,4,SUPP,3,0,3,0,SUPP,3,0,57%,SUPP,43%,0%,43%,0%,SUPP,43%,0%,53,47,SUPP,23,0,20,3,SUPP,4,2,89%,SUPP,43%,0%,38%,6%,SUPP,8%,4%,56,48,5,26,0,23,3,17,6,2,86%,9%,46%,0%,41%,5%,30%,11%,4%,6,SUPP,0,3,0,3,0,SUPP,SUPP,0,SUPP,0%,50%,0%,50%,0%,SUPP,SUPP,0%,50,SUPP,5,23,0,20,3,SUPP,SUPP,2,SUPP,10%,46%,0%,40%,6%,SUPP,SUPP,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,5403,136907,Myton School,ACC,0,0,201,186,7,143,7,130,6,36,10,5,93%,3%,71%,3%,65%,3%,18%,5%,2%,13,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,188,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,199,186,7,143,7,130,6,36,9,4,93%,4%,72%,4%,65%,3%,18%,5%,2%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,5406,136595,Rugby High School,ACC,0,0,121,106,1,91,0,90,1,14,8,7,88%,1%,75%,0%,74%,1%,12%,7%,6%,8,6,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,75%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,113,100,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,88%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,118,103,0,91,0,90,1,12,8,7,87%,0%,77%,0%,76%,1%,10%,7%,6%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,5407,136622,Alcester Grammar School,ACC,0,0,300,260,16,159,5,154,0,85,25,15,87%,5%,53%,2%,51%,0%,28%,8%,5%,11,10,1,7,0,7,0,2,0,1,91%,9%,64%,0%,64%,0%,18%,0%,9%,289,250,15,152,5,147,0,83,25,14,87%,5%,53%,2%,51%,0%,29%,9%,5%,298,260,16,159,5,154,0,85,25,13,87%,5%,53%,2%,52%,0%,29%,8%,4%,11,10,1,7,0,7,0,2,0,1,91%,9%,64%,0%,64%,0%,18%,0%,9%,287,250,15,152,5,147,0,83,25,12,87%,5%,53%,2%,51%,0%,29%,9%,4%,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,937,4233,136986,The Coleshill School,ACC,0,0,97,85,6,37,3,32,2,42,11,1,88%,6%,38%,3%,33%,2%,43%,11%,1%,10,SUPP,SUPP,1,0,1,0,8,SUPP,SUPP,SUPP,SUPP,10%,0%,10%,0%,80%,SUPP,SUPP,87,SUPP,SUPP,36,3,31,2,34,SUPP,SUPP,SUPP,SUPP,41%,3%,36%,2%,39%,SUPP,SUPP,88,77,5,34,0,32,2,38,10,1,88%,6%,39%,0%,36%,2%,43%,11%,1%,9,SUPP,SUPP,1,0,1,0,SUPP,0,SUPP,SUPP,SUPP,11%,0%,11%,0%,SUPP,0%,SUPP,79,SUPP,SUPP,33,0,31,2,SUPP,10,SUPP,SUPP,SUPP,42%,0%,39%,3%,SUPP,13%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1,3,3,0,0,4,1,0,89%,11%,33%,33%,0%,0%,44%,11%,0%,1,SUPP,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,8,SUPP,SUPP,3,3,0,0,SUPP,SUPP,0,SUPP,SUPP,38%,38%,0%,0%,SUPP,SUPP,0%
